㐄	㐄 㐄󠄀 㐄󠄁 㐄󠄂
聹	聹 聹󠄁 聹󠄂
聼	聼 聼󠄀 聼󠄁
聽	聽 聽󠄁 聽󠄂
聾	聾 聾󠄂 聾󠄃 聾󠄄
肅	肅 肅󠄁 肅󠄂
肇	肇 肇󠄂 肇󠄃
肎	肎 肎󠄁 肎󠄂
肓	肓 肓󠄁 肓󠄂
肖	肖 肖󠄂 肖󠄃
肞	肞 肞󠄂 肞󠄃
肨	肨 肨󠄀 肨󠄁
肩	肩 肩󠄂 肩󠄃
肭	肭 肭󠄁 肭󠄂 肭󠄃
育	育 育󠄁 育󠄂
肴	肴 肴󠄁 肴󠄂
肺	肺 肺󠄂 肺󠄃
胍	胍 胍󠄁 胍󠄂
胖	胖 胖󠄂 胖󠄃
胞	胞 胞󠄂 胞󠄃
胮	胮 胮󠄁 胮󠄂
胲	胲 胲󠄁 胲󠄂
脆	脆 脆󠄂 脆󠄃
脈	脈 脈󠄃 脈󠄄 脈󠄅
脩	脩 脩󠄂 脩󠄃
脫	脫 脫󠄁 脫󠄂
腓	腓 腓󠄂 腓󠄃
腔	腔 腔󠄂 腔󠄃
腠	腠 腠󠄁 腠󠄂
腤	腤 腤󠄀 腤󠄁
腦	腦 腦󠄁 腦󠄂
腰	腰 腰󠄂 腰󠄃
腱	腱 腱󠄂 腱󠄃
腳	腳 腳󠄁 腳󠄂
腴	腴 腴󠄁 腴󠄂
腹	腹 腹󠄁 腹󠄂
腿	腿 腿󠄂 腿󠄃
膀	膀 膀󠄁 膀󠄂
膄	膄 膄󠄁 膄󠄂 膄󠄃
膇	膇 膇󠄀 膇󠄁
膈	膈 膈󠄁 膈󠄂
膊	膊 膊󠄂 膊󠄃
膋	膋 膋󠄁 膋󠄂
膜	膜 膜󠄁 膜󠄂
膞	膞 膞󠄁 膞󠄂
膠	膠 膠󠄁 膠󠄂
膤	膤 膤󠄁 膤󠄂
膧	膧 膧󠄀 膧󠄁
膱	膱 膱󠄀 膱󠄁
膵	膵 膵󠄂 膵󠄃 膵󠄄
膸	膸 膸󠄁 膸󠄂
膹	膹 膹󠄀 膹󠄁
臆	臆 臆󠄁 臆󠄂
臈	臈 臈󠄁 臈󠄂 臈󠄃
臗	臗 臗󠄁 臗󠄂
臟	臟 臟󠄁 臟󠄂
臧	臧 臧󠄁 臧󠄂
臨	臨 臨󠄁 臨󠄂
臭	臭 臭󠄂 臭󠄃
臮	臮 臮󠄀 臮󠄁
臱	臱 臱󠄁 臱󠄂
致	致 致󠄁 致󠄂
臹	臹 臹󠄁 臹󠄂
臽	臽 臽󠄁 臽󠄂
臾	臾 臾󠄁 臾󠄂
臿	臿 臿󠄁 臿󠄂
舀	舀 舀󠄂 舀󠄃 舀󠄄 舀󠄅
舁	舁 舁󠄁 舁󠄂 舁󠄃
舂	舂 舂󠄁 舂󠄂
舄	舄 舄󠄁 舄󠄂
興	興 興󠄁 興󠄂
舊	舊 舊󠄁 舊󠄂
舋	舋 舋󠄁 舋󠄂
舌	舌 舌󠄂 舌󠄃
舎	舎 舎󠄁 舎󠄄
舑	舑 舑󠄀 舑󠄁
舒	舒 舒󠄁 舒󠄂
舘	舘 舘󠄂 舘󠄃 舘󠄄
舛	舛 舛󠄂 舛󠄃 舛󠄆 舛󠄇
舜	舜 舜󠄂 舜󠄃 舜󠄄
舝	舝 舝󠄁 舝󠄂
舞	舞 舞󠄁 舞󠄂
舟	舟 舟󠄂 舟󠄃
舩	舩 舩󠄁 舩󠄂
舮	舮 舮󠄂 舮󠄃
舸	舸 舸󠄁 舸󠄂
船	船 船󠄃 船󠄄 船󠄅
艀	艀 艀󠄂 艀󠄃
艇	艇 艇󠄂 艇󠄃
艕	艕 艕󠄀 艕󠄁
艗	艗 艗󠄁 艗󠄂
艘	艘 艘󠄂 艘󠄃 艘󠄄
艝	艝 艝󠄁 艝󠄂
艟	艟 艟󠄁 艟󠄂
艥	艥 艥󠄀 艥󠄁
艧	艧 艧󠄁 艧󠄂
艨	艨 艨󠄁 艨󠄂 艨󠄃
艭	艭 艭󠄁 艭󠄂
艮	艮 艮󠄁 艮󠄂
艱	艱 艱󠄁 艱󠄂
艵	艵 艵󠄀 艵󠄁
艹	艹 艹󠄃 艹󠄄 艹󠄅
艻	艻 艻󠄁 艻󠄂
艽	艽 艽󠄁 艽󠄂
艾	艾 艾󠄂 艾󠄃 艾󠄄
艿	艿 艿󠄁 艿󠄂
芀	芀 芀󠄁 芀󠄂
芁	芁 芁󠄁 芁󠄂
芃	芃 芃󠄁 芃󠄂 芃󠄃
芄	芄 芄󠄁 芄󠄂
芇	芇 芇󠄁 芇󠄂
芉	芉 芉󠄁 芉󠄂
芊	芊 芊󠄁 芊󠄂
芋	芋 芋󠄁 芋󠄂
芌	芌 芌󠄀 芌󠄁
芍	芍 芍󠄂 芍󠄃 芍󠄄
芎	芎 芎󠄁 芎󠄂
芑	芑 芑󠄁 芑󠄂
芒	芒 芒󠄂 芒󠄃 芒󠄄
芓	芓 芓󠄁 芓󠄂
芔	芔 芔󠄁 芔󠄂
芖	芖 芖󠄁 芖󠄂
芘	芘 芘󠄁 芘󠄂
芙	芙 芙󠄁 芙󠄂
芚	芚 芚󠄁 芚󠄂
芛	芛 芛󠄁 芛󠄂
芝	芝 芝󠄁 芝󠄂
芟	芟 芟󠄁 芟󠄂
芠	芠 芠󠄁 芠󠄂
芡	芡 芡󠄁 芡󠄂
芣	芣 芣󠄁 芣󠄂
芤	芤 芤󠄁 芤󠄂
芥	芥 芥󠄁 芥󠄂
芦	芦 芦󠄂 芦󠄃 芦󠄄 芦󠄅 芦󠄆 芦󠄇 芦󠄈 芦󠄉
芧	芧 芧󠄁 芧󠄂
芨	芨 芨󠄁 芨󠄂
芩	芩 芩󠄁 芩󠄂
芪	芪 芪󠄁 芪󠄂
芫	芫 芫󠄁 芫󠄂
芬	芬 芬󠄁 芬󠄂 芬󠄃
芭	芭 芭󠄁 芭󠄂
芮	芮 芮󠄁 芮󠄂 芮󠄃
芯	芯 芯󠄁 芯󠄂
芰	芰 芰󠄁 芰󠄂
花	花 花󠄂 花󠄃 花󠄄 花󠄆
芲	芲 芲󠄁 芲󠄂
芳	芳 芳󠄁 芳󠄂
芴	芴 芴󠄁 芴󠄂
芷	芷 芷󠄁 芷󠄂
芸	芸 芸󠄁 芸󠄂
芹	芹 芹󠄁 芹󠄂
芺	芺 芺󠄁 芺󠄂
芼	芼 芼󠄁 芼󠄂
芽	芽 芽󠄃 芽󠄄 芽󠄆
芾	芾 芾󠄁 芾󠄂
芿	芿 芿󠄁 芿󠄂
苅	苅 苅󠄂 苅󠄃
苆	苆 苆󠄁 苆󠄂
苐	苐 苐󠄁 苐󠄂
苑	苑 苑󠄁 苑󠄂 苑󠄃
苒	苒 苒󠄂 苒󠄃 苒󠄄
苓	苓 苓󠄁 苓󠄂
苔	苔 苔󠄁 苔󠄂
苕	苕 苕󠄁 苕󠄂
苖	苖 苖󠄀 苖󠄁
苗	苗 苗󠄁 苗󠄂
苙	苙 苙󠄁 苙󠄂
苚	苚 苚󠄁 苚󠄂
苛	苛 苛󠄁 苛󠄂
苜	苜 苜󠄁 苜󠄂
苞	苞 苞󠄁 苞󠄂 苞󠄃
苟	苟 苟󠄁 苟󠄂 苟󠄃
苠	苠 苠󠄁 苠󠄂
苡	苡 苡󠄁 苡󠄂
苢	苢 苢󠄁 苢󠄂 苢󠄃
苣	苣 苣󠄂 苣󠄃 苣󠄄
苤	苤 苤󠄁 苤󠄂
若	若 若󠄁 若󠄂 若󠄃
苦	苦 苦󠄁 苦󠄂
苧	苧 苧󠄁 苧󠄂
苨	苨 苨󠄁 苨󠄂
苪	苪 苪󠄁 苪󠄂
苫	苫 苫󠄁 苫󠄂
苭	苭 苭󠄁 苭󠄂
苯	苯 苯󠄁 苯󠄂
英	英 英󠄁 英󠄂 英󠄃 英󠄄
苳	苳 苳󠄁 苳󠄂 苳󠄃
苴	苴 苴󠄁 苴󠄂
苶	苶 苶󠄁 苶󠄂
苷	苷 苷󠄁 苷󠄂
苹	苹 苹󠄁 苹󠄂 苹󠄃
苺	苺 苺󠄁 苺󠄂
苻	苻 苻󠄁 苻󠄂
苽	苽 苽󠄁 苽󠄂 苽󠄃
苾	苾 苾󠄁 苾󠄂
茀	茀 茀󠄁 茀󠄂
茁	茁 茁󠄁 茁󠄂
茂	茂 茂󠄁 茂󠄂 茂󠄃
范	范 范󠄁 范󠄂 范󠄃
茄	茄 茄󠄁 茄󠄂
茅	茅 茅󠄁 茅󠄂
茆	茆 茆󠄁 茆󠄂
茇	茇 茇󠄁 茇󠄂
茈	茈 茈󠄁 茈󠄂
茉	茉 茉󠄁 茉󠄂
茊	茊 茊󠄁 茊󠄂
茋	茋 茋󠄁 茋󠄂
茌	茌 茌󠄁 茌󠄂
茖	茖 茖󠄁 茖󠄂
茗	茗 茗󠄁 茗󠄂
茘	茘 茘󠄁 茘󠄂
茛	茛 茛󠄁 茛󠄂
茜	茜 茜󠄁 茜󠄂
茝	茝 茝󠄁 茝󠄂
茞	茞 茞󠄁 茞󠄂
茟	茟 茟󠄁 茟󠄂
茡	茡 茡󠄁 茡󠄂
茢	茢 茢󠄁 茢󠄂
茣	茣 茣󠄂 茣󠄃 茣󠄄 茣󠄅 茣󠄆
茦	茦 茦󠄀 茦󠄁
茧	茧 茧󠄀 茧󠄁
茨	茨 茨󠄂 茨󠄃 茨󠄄
茫	茫 茫󠄁 茫󠄂 茫󠄃
茬	茬 茬󠄁 茬󠄂
茭	茭 茭󠄁 茭󠄂
茮	茮 茮󠄂 茮󠄃
茯	茯 茯󠄁 茯󠄂
茰	茰 茰󠄁 茰󠄂 茰󠄃 茰󠄄 茰󠄅
茱	茱 茱󠄁 茱󠄂
茲	茲 茲󠄁 茲󠄂
茳	茳 茳󠄁 茳󠄂
茴	茴 茴󠄁 茴󠄂
茵	茵 茵󠄁 茵󠄂
茶	茶 茶󠄁 茶󠄂
茷	茷 茷󠄁 茷󠄂
茸	茸 茸󠄁 茸󠄂 茸󠄃
茹	茹 茹󠄁 茹󠄂
茺	茺 茺󠄁 茺󠄂
茼	茼 茼󠄁 茼󠄂
茽	茽 茽󠄁 茽󠄂
荀	荀 荀󠄁 荀󠄂
荂	荂 荂󠄁 荂󠄂 荂󠄃
荃	荃 荃󠄁 荃󠄂 荃󠄃 荃󠄄
荄	荄 荄󠄁 荄󠄂 荄󠄃
荅	荅 荅󠄁 荅󠄂 荅󠄃
荆	荆 荆󠄁 荆󠄂 荆󠄃 荆󠄄
荇	荇 荇󠄁 荇󠄂
草	草 草󠄁 草󠄂
荊	荊 荊󠄁 荊󠄂 荊󠄃 荊󠄄
荍	荍 荍󠄁 荍󠄂
荎	荎 荎󠄁 荎󠄂
荏	荏 荏󠄁 荏󠄂 荏󠄃
荐	荐 荐󠄁 荐󠄂
荑	荑 荑󠄁 荑󠄂 荑󠄃
荒	荒 荒󠄂 荒󠄃 荒󠄄 荒󠄅 荒󠄆 荒󠄇 荒󠄈
荓	荓 荓󠄁 荓󠄂 荓󠄃 荓󠄄
荔	荔 荔󠄁 荔󠄂
荕	荕 荕󠄁 荕󠄂
荖	荖 荖󠄁 荖󠄂
荗	荗 荗󠄁 荗󠄂
荢	荢 荢󠄁 荢󠄂 荢󠄃
荰	荰 荰󠄁 荰󠄂
荳	荳 荳󠄁 荳󠄂
荵	荵 荵󠄂 荵󠄃 荵󠄄 荵󠄅
荷	荷 荷󠄁 荷󠄂
荸	荸 荸󠄁 荸󠄂
荻	荻 荻󠄁 荻󠄂 荻󠄃
荼	荼 荼󠄁 荼󠄂
荽	荽 荽󠄁 荽󠄂
荾	荾 荾󠄀 荾󠄁
荿	荿 荿󠄁 荿󠄂 荿󠄃 荿󠄄 荿󠄅
莀	莀 莀󠄁 莀󠄂
莂	莂 莂󠄁 莂󠄂
莄	莄 莄󠄁 莄󠄂
莅	莅 莅󠄁 莅󠄂
莆	莆 莆󠄁 莆󠄂
莇	莇 莇󠄁 莇󠄂
莉	莉 莉󠄁 莉󠄂
莊	莊 莊󠄁 莊󠄂
莍	莍 莍󠄁 莍󠄂
莎	莎 莎󠄁 莎󠄂
莑	莑 莑󠄀 莑󠄁
莒	莒 莒󠄁 莒󠄂
莓	莓 莓󠄁 莓󠄂 莓󠄃
莔	莔 莔󠄁 莔󠄂
莕	莕 莕󠄁 莕󠄂
莖	莖 莖󠄁 莖󠄂 莖󠄃
莘	莘 莘󠄁 莘󠄂
莙	莙 莙󠄁 莙󠄂
莚	莚 莚󠄁 莚󠄂 莚󠄃
莛	莛 莛󠄁 莛󠄂 莛󠄃
莜	莜 莜󠄁 莜󠄂
莝	莝 莝󠄁 莝󠄂
莞	莞 莞󠄁 莞󠄂
莟	莟 莟󠄁 莟󠄂
莠	莠 莠󠄁 莠󠄂
莢	莢 莢󠄁 莢󠄂
莤	莤 莤󠄀 莤󠄁
莦	莦 莦󠄁 莦󠄂
莧	莧 莧󠄁 莧󠄂
莨	莨 莨󠄁 莨󠄂
莩	莩 莩󠄁 莩󠄂
莪	莪 莪󠄁 莪󠄂
莫	莫 莫󠄁 莫󠄂
莬	莬 莬󠄁 莬󠄂
莭	莭 莭󠄁 莭󠄂 莭󠄃
莵	莵 莵󠄁 莵󠄂 莵󠄃 莵󠄄
莽	莽 莽󠄂 莽󠄃 莽󠄄 莽󠄅 莽󠄆 莽󠄇
莾	莾 莾󠄁 莾󠄂
莿	莿 莿󠄁 莿󠄂
菀	菀 菀󠄁 菀󠄂
菁	菁 菁󠄁 菁󠄂 菁󠄃 菁󠄄
菅	菅 菅󠄁 菅󠄂
菆	菆 菆󠄀 菆󠄁 菆󠄂
菇	菇 菇󠄁 菇󠄂
菉	菉 菉󠄁 菉󠄂
菊	菊 菊󠄁 菊󠄂
菌	菌 菌󠄁 菌󠄂
菎	菎 菎󠄁 菎󠄂
菏	菏 菏󠄁 菏󠄂
菑	菑 菑󠄁 菑󠄂
菒	菒 菒󠄀 菒󠄁
菓	菓 菓󠄂 菓󠄃
菔	菔 菔󠄂 菔󠄃
菖	菖 菖󠄁 菖󠄂
菘	菘 菘󠄁 菘󠄂 菘󠄃
菜	菜 菜󠄂 菜󠄃 菜󠄄
菝	菝 菝󠄁 菝󠄂
菟	菟 菟󠄄 菟󠄅 菟󠄆 菟󠄇 菟󠄈 菟󠄉 菟󠄊 菟󠄋 菟󠄌
菠	菠 菠󠄁 菠󠄂
菡	菡 菡󠄁 菡󠄂 菡󠄃
菥	菥 菥󠄁 菥󠄂
菨	菨 菨󠄁 菨󠄂
菩	菩 菩󠄁 菩󠄂
菪	菪 菪󠄁 菪󠄂
菫	菫 菫󠄁 菫󠄂
華	華 華󠄁 華󠄂 華󠄃 華󠄄
菰	菰 菰󠄁 菰󠄂 菰󠄃
菱	菱 菱󠄁 菱󠄂 菱󠄃 菱󠄄
菲	菲 菲󠄃 菲󠄄 菲󠄅
菳	菳 菳󠄀 菳󠄁
菴	菴 菴󠄁 菴󠄂
菶	菶 菶󠄁 菶󠄂
菷	菷 菷󠄁 菷󠄂 菷󠄃
菸	菸 菸󠄁 菸󠄂
菹	菹 菹󠄁 菹󠄂
菻	菻 菻󠄁 菻󠄂
菼	菼 菼󠄁 菼󠄂
菽	菽 菽󠄁 菽󠄂
萁	萁 萁󠄁 萁󠄂
萃	萃 萃󠄁 萃󠄂 萃󠄃
萄	萄 萄󠄁 萄󠄂 萄󠄃
萆	萆 萆󠄁 萆󠄂
萇	萇 萇󠄁 萇󠄂
萊	萊 萊󠄁 萊󠄂
萋	萋 萋󠄁 萋󠄂 萋󠄃
萌	萌 萌󠄂 萌󠄃
萍	萍 萍󠄁 萍󠄂 萍󠄃
萎	萎 萎󠄁 萎󠄂
萏	萏 萏󠄂 萏󠄃
萑	萑 萑󠄁 萑󠄂
萓	萓 萓󠄁 萓󠄂 萓󠄃
萕	萕 萕󠄁 萕󠄂 萕󠄃
萙	萙 萙󠄁 萙󠄂
萞	萞 萞󠄀 萞󠄁
萠	萠 萠󠄂 萠󠄃 萠󠄄
萢	萢 萢󠄂 萢󠄃 萢󠄄
萩	萩 萩󠄁 萩󠄂
萪	萪 萪󠄁 萪󠄂
萫	萫 萫󠄀 萫󠄁
萬	萬 萬󠄁 萬󠄂 萬󠄃 萬󠄄
萯	萯 萯󠄁 萯󠄂
萱	萱 萱󠄁 萱󠄂
萵	萵 萵󠄁 萵󠄂
萸	萸 萸󠄁 萸󠄂
萹	萹 萹󠄁 萹󠄂
萻	萻 萻󠄀 萻󠄁
萼	萼 萼󠄁 萼󠄂
落	落 落󠄁 落󠄂
葁	葁 葁󠄀 葁󠄁
葅	葅 葅󠄁 葅󠄂
葆	葆 葆󠄁 葆󠄂
葇	葇 葇󠄁 葇󠄂
葈	葈 葈󠄁 葈󠄂
葉	葉 葉󠄁 葉󠄂 葉󠄃
葊	葊 葊󠄁 葊󠄂
葍	葍 葍󠄁 葍󠄂
葎	葎 葎󠄁 葎󠄂
葏	葏 葏󠄁 葏󠄂
葑	葑 葑󠄁 葑󠄂
葒	葒 葒󠄁 葒󠄂
葖	葖 葖󠄁 葖󠄂
著	著 著󠄂 著󠄃 著󠄄
葘	葘 葘󠄁 葘󠄂
葙	葙 葙󠄁 葙󠄂
葚	葚 葚󠄁 葚󠄂 葚󠄃
葛	葛 葛󠄂 葛󠄃 葛󠄄 葛󠄅 葛󠄆 葛󠄇 葛󠄈
葜	葜 葜󠄂 葜󠄃 葜󠄄
葟	葟 葟󠄁 葟󠄂
葠	葠 葠󠄁 葠󠄂
葡	葡 葡󠄁 葡󠄂
葢	葢 葢󠄁 葢󠄂 葢󠄃
董	董 董󠄁 董󠄂
葤	葤 葤󠄁 葤󠄂
葥	葥 葥󠄁 葥󠄂
葦	葦 葦󠄁 葦󠄂 葦󠄃 葦󠄄 葦󠄅 葦󠄆
葧	葧 葧󠄁 葧󠄂
葩	葩 葩󠄁 葩󠄂
葪	葪 葪󠄁 葪󠄂
葫	葫 葫󠄁 葫󠄂
葬	葬 葬󠄁 葬󠄂
葭	葭 葭󠄁 葭󠄂
葮	葮 葮󠄁 葮󠄂
葯	葯 葯󠄁 葯󠄂
葰	葰 葰󠄁 葰󠄂
葱	葱 葱󠄁 葱󠄂
葳	葳 葳󠄁 葳󠄂
葴	葴 葴󠄁 葴󠄂
葵	葵 葵󠄁 葵󠄂
葶	葶 葶󠄁 葶󠄂
葷	葷 葷󠄁 葷󠄂
葸	葸 葸󠄁 葸󠄂
葹	葹 葹󠄁 葹󠄂
葺	葺 葺󠄂 葺󠄃 葺󠄄
葻	葻 葻󠄀 葻󠄁
葼	葼 葼󠄁 葼󠄂
葽	葽 葽󠄁 葽󠄂 葽󠄃 葽󠄄
蒁	蒁 蒁󠄁 蒁󠄂 蒁󠄃 蒁󠄄
蒂	蒂 蒂󠄁 蒂󠄂 蒂󠄃
蒄	蒄 蒄󠄁 蒄󠄂
蒅	蒅 蒅󠄁 蒅󠄂 蒅󠄃
蒋	蒋 蒋󠄁 蒋󠄂
蒐	蒐 蒐󠄁 蒐󠄂
蒒	蒒 蒒󠄁 蒒󠄂
蒓	蒓 蒓󠄁 蒓󠄂
蒔	蒔 蒔󠄁 蒔󠄂
蒕	蒕 蒕󠄁 蒕󠄂
蒗	蒗 蒗󠄁 蒗󠄂
蒙	蒙 蒙󠄁 蒙󠄂 蒙󠄃 蒙󠄄
蒜	蒜 蒜󠄁 蒜󠄂 蒜󠄃
蒞	蒞 蒞󠄁 蒞󠄂
蒟	蒟 蒟󠄁 蒟󠄂
蒡	蒡 蒡󠄁 蒡󠄂 蒡󠄃
蒦	蒦 蒦󠄁 蒦󠄂 蒦󠄃
蒧	蒧 蒧󠄀 蒧󠄁
蒨	蒨 蒨󠄁 蒨󠄂 蒨󠄃
蒩	蒩 蒩󠄁 蒩󠄂
蒪	蒪 蒪󠄁 蒪󠄂
蒭	蒭 蒭󠄁 蒭󠄂
蒯	蒯 蒯󠄁 蒯󠄂
蒱	蒱 蒱󠄁 蒱󠄂
蒲	蒲 蒲󠄁 蒲󠄂
蒴	蒴 蒴󠄁 蒴󠄂
蒸	蒸 蒸󠄁 蒸󠄂
蒹	蒹 蒹󠄁 蒹󠄂 蒹󠄃
蒺	蒺 蒺󠄁 蒺󠄂
蒻	蒻 蒻󠄁 蒻󠄂 蒻󠄃
蒼	蒼 蒼󠄁 蒼󠄂
蒽	蒽 蒽󠄁 蒽󠄂
蒾	蒾 蒾󠄁 蒾󠄂
蒿	蒿 蒿󠄁 蒿󠄂
蓀	蓀 蓀󠄁 蓀󠄂
蓁	蓁 蓁󠄁 蓁󠄂
蓂	蓂 蓂󠄁 蓂󠄂
蓄	蓄 蓄󠄁 蓄󠄂
蓅	蓅 蓅󠄀 蓅󠄁
蓆	蓆 蓆󠄁 蓆󠄂
蓇	蓇 蓇󠄁 蓇󠄂
蓈	蓈 蓈󠄁 蓈󠄂 蓈󠄄
蓉	蓉 蓉󠄁 蓉󠄂
蓊	蓊 蓊󠄁 蓊󠄂 蓊󠄃 蓊󠄄
蓋	蓋 蓋󠄁 蓋󠄂
蓌	蓌 蓌󠄁 蓌󠄂
蓍	蓍 蓍󠄁 蓍󠄂
蓎	蓎 蓎󠄁 蓎󠄂
蓏	蓏 蓏󠄁 蓏󠄂 蓏󠄃
蓐	蓐 蓐󠄁 蓐󠄂 蓐󠄃
蓑	蓑 蓑󠄁 蓑󠄂
蓓	蓓 蓓󠄁 蓓󠄂
蓖	蓖 蓖󠄁 蓖󠄂
蓙	蓙 蓙󠄁 蓙󠄂 蓙󠄃
蓚	蓚 蓚󠄁 蓚󠄂
蓜	蓜 蓜󠄁 蓜󠄂 蓜󠄃
蓧	蓧 蓧󠄁 蓧󠄂
蓪	蓪 蓪󠄂 蓪󠄃
蓫	蓫 蓫󠄀 蓫󠄁
蓬	蓬 蓬󠄂 蓬󠄃 蓬󠄄 蓬󠄅 蓬󠄆
蓮	蓮 蓮󠄂 蓮󠄃 蓮󠄄 蓮󠄅 蓮󠄆
蓯	蓯 蓯󠄁 蓯󠄂
蓰	蓰 蓰󠄁 蓰󠄂
蓱	蓱 蓱󠄁 蓱󠄂 蓱󠄃
蓲	蓲 蓲󠄁 蓲󠄂
蓴	蓴 蓴󠄂 蓴󠄃 蓴󠄄
蓷	蓷 蓷󠄁 蓷󠄂
蓻	蓻 蓻󠄁 蓻󠄂
蓼	蓼 蓼󠄁 蓼󠄂 蓼󠄃
蓽	蓽 蓽󠄁 蓽󠄂 蓽󠄃
蓿	蓿 蓿󠄁 蓿󠄂
蔀	蔀 蔀󠄁 蔀󠄂
蔂	蔂 蔂󠄁 蔂󠄂
蔃	蔃 蔃󠄁 蔃󠄂
蔆	蔆 蔆󠄁 蔆󠄂
蔇	蔇 蔇󠄁 蔇󠄂
蔌	蔌 蔌󠄁 蔌󠄂
蔎	蔎 蔎󠄁 蔎󠄂
蔐	蔐 蔐󠄁 蔐󠄂
蔑	蔑 蔑󠄂 蔑󠄃 蔑󠄄 蔑󠄅 蔑󠄆
蔒	蔒 蔒󠄀 蔒󠄁
蔓	蔓 蔓󠄁 蔓󠄂 蔓󠄃 蔓󠄄
蔔	蔔 蔔󠄁 蔔󠄂
蔕	蔕 蔕󠄁 蔕󠄂
蔗	蔗 蔗󠄂 蔗󠄃 蔗󠄄
蔘	蔘 蔘󠄁 蔘󠄂
蔚	蔚 蔚󠄁 蔚󠄂
蔛	蔛 蔛󠄁 蔛󠄂
蔜	蔜 蔜󠄁 蔜󠄂
蔞	蔞 蔞󠄁 蔞󠄂
蔟	蔟 蔟󠄁 蔟󠄂
蔡	蔡 蔡󠄁 蔡󠄂 蔡󠄃
蔢	蔢 蔢󠄁 蔢󠄂
蔣	蔣 蔣󠄁 蔣󠄂 蔣󠄃
蔤	蔤 蔤󠄁 蔤󠄂
蔥	蔥 蔥󠄁 蔥󠄂 蔥󠄃 蔥󠄄
蔦	蔦 蔦󠄁 蔦󠄂
蔧	蔧 蔧󠄁 蔧󠄂
蔪	蔪 蔪󠄁 蔪󠄂
蔫	蔫 蔫󠄁 蔫󠄂
蔬	蔬 蔬󠄁 蔬󠄂
蔭	蔭 蔭󠄁 蔭󠄂
蔯	蔯 蔯󠄁 蔯󠄂
蔲	蔲 蔲󠄁 蔲󠄂 蔲󠄃
蔳	蔳 蔳󠄁 蔳󠄂
蔴	蔴 蔴󠄁 蔴󠄂
蔶	蔶 蔶󠄁 蔶󠄂
蔽	蔽 蔽󠄃 蔽󠄄 蔽󠄅
蔾	蔾 蔾󠄁 蔾󠄂 蔾󠄃
蔿	蔿 蔿󠄁 蔿󠄂
蕀	蕀 蕀󠄁 蕀󠄂
蕁	蕁 蕁󠄁 蕁󠄂 蕁󠄃
蕃	蕃 蕃󠄂 蕃󠄃
蕆	蕆 蕆󠄁 蕆󠄂
蕈	蕈 蕈󠄁 蕈󠄂 蕈󠄃
蕉	蕉 蕉󠄁 蕉󠄂
蕊	蕊 蕊󠄁 蕊󠄂
蕋	蕋 蕋󠄁 蕋󠄂
蕎	蕎 蕎󠄁 蕎󠄂
蕏	蕏 蕏󠄁 蕏󠄂
蕐	蕐 蕐󠄁 蕐󠄂
蕑	蕑 蕑󠄂 蕑󠄃
蕒	蕒 蕒󠄁 蕒󠄂
蕓	蕓 蕓󠄁 蕓󠄂
蕕	蕕 蕕󠄂 蕕󠄃 蕕󠄄 蕕󠄅
蕖	蕖 蕖󠄁 蕖󠄂 蕖󠄃 蕖󠄄
蕗	蕗 蕗󠄁 蕗󠄂
蕘	蕘 蕘󠄁 蕘󠄂
蕙	蕙 蕙󠄁 蕙󠄂 蕙󠄃 蕙󠄄
蕚	蕚 蕚󠄁 蕚󠄂
蕜	蕜 蕜󠄁 蕜󠄂
蕝	蕝 蕝󠄂 蕝󠄃 蕝󠄄
蕞	蕞 蕞󠄁 蕞󠄂
蕟	蕟 蕟󠄁 蕟󠄂
蕠	蕠 蕠󠄁 蕠󠄂
蕡	蕡 蕡󠄁 蕡󠄂 蕡󠄃
蕢	蕢 蕢󠄁 蕢󠄂
蕣	蕣 蕣󠄂 蕣󠄃 蕣󠄄 蕣󠄅 蕣󠄆
蕤	蕤 蕤󠄁 蕤󠄂
蕨	蕨 蕨󠄁 蕨󠄂 蕨󠄃
蕩	蕩 蕩󠄁 蕩󠄂
蕪	蕪 蕪󠄁 蕪󠄂
蕫	蕫 蕫󠄁 蕫󠄂 蕫󠄃
蕬	蕬 蕬󠄀 蕬󠄁
蕭	蕭 蕭󠄁 蕭󠄂
蕯	蕯 蕯󠄁 蕯󠄂
蕰	蕰 蕰󠄀 蕰󠄁
蕳	蕳 蕳󠄀 蕳󠄁
蕷	蕷 蕷󠄁 蕷󠄂
蕸	蕸 蕸󠄀 蕸󠄁 蕸󠄂
蕹	蕹 蕹󠄁 蕹󠄂
蕺	蕺 蕺󠄁 蕺󠄂
蕻	蕻 蕻󠄁 蕻󠄂
蕽	蕽 蕽󠄁 蕽󠄂
蕾	蕾 蕾󠄁 蕾󠄂
蕿	蕿 蕿󠄁 蕿󠄂
薀	薀 薀󠄁 薀󠄂
薁	薁 薁󠄁 薁󠄂 薁󠄅
薄	薄 薄󠄂 薄󠄃 薄󠄄
薅	薅 薅󠄁 薅󠄂
薆	薆 薆󠄁 薆󠄂
薇	薇 薇󠄂 薇󠄃 薇󠄄 薇󠄅 薇󠄆
薈	薈 薈󠄁 薈󠄂
薉	薉 薉󠄁 薉󠄂
薊	薊 薊󠄁 薊󠄂 薊󠄃
薋	薋 薋󠄁 薋󠄂
薌	薌 薌󠄁 薌󠄂 薌󠄃 薌󠄄
薏	薏 薏󠄁 薏󠄂 薏󠄃
薐	薐 薐󠄁 薐󠄂
